,Title,Published_date,Views,Likes,Comments,Month
101,Why I'm Starting Data Science Over Again.,2020-08-29,50347,2599,452,Aug
102,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26,14401,604,76,Aug
103,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24,11801,436,54,Aug
104,Don't Buy My Course..,2020-08-21,7278,356,148,Aug
105,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19,28005,1085,166,Aug
106,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17,3134,128,40,Aug
107,Data Scientist Dismantles the YouTube Algorithm.,2020-08-14,6102,535,110,Aug
108,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12,4750,182,39,Aug
109,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10,9753,321,53,Aug
110,The Plagiarism Problem in Data Science,2020-08-07,12920,629,150,Aug
111,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05,14030,595,89,Aug
112,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03,4701,183,56,Aug
113,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31,10521,559,90,Jul
114,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30,2280,115,34,Jul
115,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27,5392,250,112,Jul
116,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24,8060,245,201,Jul
117,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22,1828,98,27,Jul
118,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20,26719,541,90,Jul
119,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17,247419,5875,393,Jul
120,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16,28993,1085,120,Jul
121,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13,3482,132,50,Jul
122,The Best Computer for Data Science Beginners,2020-07-10,33737,796,156,Jul
123,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08,6017,229,84,Jul
124,Critiquing MY OWN Data Science Resume,2020-07-06,12149,386,90,Jul
125,Where to Start Learning Data Science,2020-07-03,17977,760,131,Jul
126,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01,3912,196,37,Jul
127,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29,4432,175,54,Jun
128,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26,15066,533,79,Jun
129,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22,2321,82,40,Jun
130,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20,2364,137,51,Jun
131,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15,4166,163,46,Jun
132,Why You're Struggling to Learn Data Science,2020-06-12,14972,1003,160,Jun
133,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08,10136,317,70,Jun
134,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05,21353,646,151,Jun
135,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01,5615,154,53,Jun
136,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29,59029,1927,263,May
137,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25,20829,487,81,May
138,Different Data Science Roles Explained (by a Data Scientist),2020-05-22,50169,1789,176,May
139,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18,11050,176,55,May
140,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15,99261,3646,188,May
141,10000 Subscriber and 100th Video Special (Data Science),2020-05-13,3085,146,115,May
142,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11,4290,149,74,May
143,How I Would Learn Data Science (If I Had to Start Over),2020-05-08,1364080,48421,2002,May
144,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04,5118,187,42,May
145,What You Need to Know for a Data Science Internship,2020-05-01,17477,1022,60,May
146,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27,8014,344,57,Apr
147,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24,14863,461,103,Apr
148,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22,2964,84,24,Apr
149,5 Tips for Crushing the Work From Home Life,2020-04-20,5232,200,38,Apr
150,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17,15820,623,122,Apr
151,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15,22698,624,95,Apr
152,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13,34768,748,142,Apr
153,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10,59116,1648,201,Apr
154,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08,62526,1503,257,Apr
